city,avg_m2_price
Adana,29760
Adiyaman,23502
Afyonkarahisar,30583
Agri,21315
Amasya,27368
Ankara,35288
Antalya,49662
Artvin,26754
Aydin,50732
Balikesir,45228
Bilecik,26848
Bingol,28293
Bitlis,23742
Bolu,37670
Burdur,29589
Bursa,32866
Canakkale,50464
Cankiri,29255
Corum,26312
Denizli,36044
Diyarbakir,32399
Edirne,38319
Elazig,23854
Erzincan,29423
Erzurum,24687
Eskisehir,31745
Gaziantep,26672
Giresun,29189
Gumushane,25941
Hakkari,19898
Hatay,25932
Isparta,35634
Mersin,32961
Istanbul,60391
Izmir,49622
Kars,23384
Kastamonu,32135
Kayseri,22036
Kirklareli,34419
Kirsehir,23775
Kocaeli,38157
Konya,28490
Kutahya,27124
Malatya,21130
Manisa,34781
Kahramanmaras,24569
Mardin,21493
Mugla,78991
Mus,22825
Nevsehir,30668
Nigde,27011
Ordu,34097
Rize,33306
Sakarya,34552
Samsun,34137
Siirt,22479
Sinop,37560
Sivas,26832
Tekirdag,30817
Tokat,29826
Trabzon,31117
Tunceli,36411
Sanliurfa,22237
Usak,26252
Van,29830
Yozgat,24038
Zonguldak,36096
Aksaray,30756
Bayburt,24163
Karaman,26269
Kirikkale,21844
Batman,25403
Sirnak,23750
Bartin,40240
Ardahan,26699
Igdir,27618
Yalova,35453
Karabuk,28723
Kilis,16930
Osmaniye,20716
Duzce,27469
